ID,Name,SMILES,target_variable
1,Acid Yellow 9,NC1=CC=C(C=C1S(O)(=O)=O)\N=N\C1=CC=C(C=C1)S(O)(=O)=O,3
2,Acid Yellow 21,CC1=CC(\N=N\C2=CC3=CC=C(C=C3C=C2)S(O)(=O)=O)=C(O)C=C1,5.5
3,Acid Yellow 33,OS(=O)(=O)C1=C2C=CC(=CC2=CC=C1)\N=N\C1=CC=C(C=C1)N(N=O)C1=CC=C(C=C1)[N+]([O-])=O,2
4,Acid Yellow 36,OS(=O)(=O)C1=CC=CC(=C1)\N=N\C1=CC=C(NC2=CC=CC=C2)C=C1,3
5,Acid Yellow 38,CCOC1=CC=C(C=C1)\N=N\C1=CC=C(SC2=CC=C(C=C2)\N=N\C2=CC=C(OCC)C=C2)C=C1,5
6,Acid Yellow 65,CC1=CC(=CC=C1OS(=O)(=O)C1=CC=CC=C1)\N=N\C1=CC=C(NC2=CC(=CC(=C2)[N+]([O-])=O)S(O)(=O)=O)C=C1,4.5
9,Acid Yellow 135,OC1=C(C=C(C=C1)C1=CC=CC=C1)\N=N\C1=CC=C(OCCOS(O)(=O)=O)C=C1,7
10,Acid Yellow 199,CC1=CC(O)=CC=C1\N=N\C1=CC=C(NC2=C(C=C(C=C2)S(O)(=O)=O)[N+]([O-])=O)C=C1,6.5
11,Acid Yellow 219,COC1=CC=C(C=C1)\N=N\C1=CC=C(C=C1OC)\N=N\C1=CC=CC(=C1)S(O)(=O)=O,6
12,Acid Orange 5,OS(=O)(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(NC2=CC=CC=C2)C=C1,3
13,Acid Orange 6,OC1=CC(O)=C(C=C1)\N=N\C1=CC=C(C=C1)S(O)(=O)=O,3
14,Acid Orange 25,OC1=C(\N=N\C2=CC=CC=C2)C(O)=C(C=C1)\N=N\C1=CC=C(C=C1)S(O)(=O)=O,2.5
17,Acid Orange 67,CC1=CC=C(C=C1)S(=O)(=O)OC1=CC=C(\N=N\C2=CC=C(NC3=C(C=CC=C3S(O)(=O)=O)[N+]([O-])=O)C=C2)C(C)=C1,5.5
19,Acid Orange 156,COC1=CC=C(C=C1)\N=N\C1=CC(C)=C(C=C1OC)\N=N\C1=CC=C(C=C1)S(O)(=O)=O,6.5
20,Acid Orange 7,OC1=C(\N=N\C2=CC=C(C=C2)S(O)(=O)=O)C2=C(C=CC=C2)C=C1,4.0
21,Acid Orange 8,CC1=CC(=CC=C1\N=N\C1=C(O)C=CC2=C1C=CC=C2)S(O)(=O)=O,3.0
22,Acid Orange 10,OC1=C(\N=N\C2=CC=CC=C2)C2=C(C=C1)C=C(C=C2S(O)(=O)=O)S(O)(=O)=O,4.5
23,Acid Orange 12,OC1=C(\N=N\C2=CC=CC=C2)C2=C(C=C1)C=C(C=C2)S(O)(=O)=O,4.0
24,Acid Orange 19,CC1=CC=C(C=C1S(=O)(=O)NC1=CC=CC=C1)\N=N\C1=C(O)C2=C(C=CC=C2)C(=C1)S(O)(=O)=O,4.5
